  2.0504433e+007	 -6.5813658e+005	  2.0504434e+007	 -5.0478012e+005	  1.4205100e+005	
  2.0504336e+007	 -6.5864223e+005	  2.0504338e+007	 -5.0517413e+005	  1.4205200e+005	
  2.0504240e+007	 -6.5914744e+005	  2.0504242e+007	 -5.0556780e+005	  1.4205300e+005	
  2.0504144e+007	 -6.5965225e+005	  2.0504145e+007	 -5.0596116e+005	  1.4205400e+005	
  2.0504048e+007	 -6.6015674e+005	  2.0504049e+007	 -5.0635426e+005	  1.4205500e+005	
  2.0503952e+007	 -6.6066108e+005	  2.0503953e+007	 -5.0674726e+005	  1.4205600e+005	
  2.0503856e+007	 -6.6116522e+005	  2.0503858e+007	 -5.0714010e+005	  1.4205700e+005	
  2.0503760e+007	 -6.6166901e+005	  2.0503762e+007	 -5.0753266e+005	  1.4205800e+005	
  2.0503665e+007	 -6.6217218e+005	  2.0503666e+007	 -5.0792473e+005	  1.4205900e+005	
  2.0503569e+007	 -6.6267491e+005	  2.0503570e+007	 -5.0831647e+005	  1.4206000e+005	
  2.0503473e+007	 -6.6317703e+005	  2.0503475e+007	 -5.0870774e+005	  1.4206100e+005	
  2.0503378e+007	 -6.6367868e+005	  2.0503379e+007	 -5.0909864e+005	  1.4206200e+005	
  2.0503283e+007	 -6.6417995e+005	  2.0503284e+007	 -5.0948923e+005	  1.4206300e+005	
  2.0503187e+007	 -6.6468089e+005	  2.0503188e+007	 -5.0987958e+005	  1.4206400e+005	
  2.0503092e+007	 -6.6518183e+005	  2.0503093e+007	 -5.1026992e+005	  1.4206500e+005	
  2.0502997e+007	 -6.6568237e+005	  2.0502998e+007	 -5.1065995e+005	  1.4206600e+005	
  2.0502901e+007	 -6.6618239e+005	  2.0502903e+007	 -5.1104958e+005	  1.4206700e+005	
  2.0502806e+007	 -6.6668193e+005	  2.0502808e+007	 -5.1143883e+005	  1.4206800e+005	
  2.0502711e+007	 -6.6718135e+005	  2.0502713e+007	 -5.1182798e+005	  1.4206900e+005	
  2.0502616e+007	 -6.6768042e+005	  2.0502618e+007	 -5.1221687e+005	  1.4207000e+005	
  2.0502521e+007	 -6.6817943e+005	  2.0502523e+007	 -5.1260571e+005	  1.4207100e+005	
  2.0502427e+007	 -6.6867798e+005	  2.0502428e+007	 -5.1299419e+005	  1.4207200e+005	
  2.0502332e+007	 -6.6917612e+005	  2.0502333e+007	 -5.1338235e+005	  1.4207300e+005	
  2.0502237e+007	 -6.6967363e+005	  2.0502238e+007	 -5.1377002e+005	  1.4207400e+005	
  2.0502142e+007	 -6.7017101e+005	  2.0502144e+007	 -5.1415758e+005	  1.4207500e+005	
  2.0502048e+007	 -6.7066822e+005	  2.0502049e+007	 -5.1454502e+005	  1.4207600e+005	
  2.0501953e+007	 -6.7116491e+005	  2.0501955e+007	 -5.1493205e+005	  1.4207700e+005	
  2.0501859e+007	 -6.7166130e+005	  2.0501860e+007	 -5.1531885e+005	  1.4207800e+005	
  2.0501764e+007	 -6.7215726e+005	  2.0501766e+007	 -5.1570531e+005	  1.4207900e+005	
  2.0501670e+007	 -6.7265223e+005	  2.0501672e+007	 -5.1609101e+005	  1.4208000e+005	
